Chart Recorder Data File Thu, Feb 27, 2020 12:14 PM
Time (s)	Position (m)  
11:51:52.922	0.217000
11:51:53.921	0.217000
11:51:54.922	0.216000
11:51:55.922	0.218000
11:51:56.922	0.218000
11:51:57.922	0.217000
11:51:58.922	0.218000
11:51:59.922	0.218000
11:52:00.921	0.218000
11:52:01.922	0.218000
11:52:02.922	0.218000
11:52:03.922	0.218000
11:52:04.922	0.218000
11:52:05.922	0.218000
11:52:06.922	0.218000
11:52:07.922	0.219000
11:52:08.922	0.219000
11:52:09.922	0.219000
11:52:10.922	0.219000
11:52:11.922	0.219000
11:52:12.922	0.219000
11:52:13.922	0.219000
11:52:14.922	0.219000
11:52:15.922	0.220000
11:52:16.922	0.220000
11:52:17.922	0.220000
11:52:18.922	0.220000
11:52:19.921	0.220000
11:52:20.922	0.220000
11:52:21.922	0.220000
11:52:22.922	0.220000
11:52:23.922	0.220000
11:52:24.922	0.220000
11:52:25.922	0.221000
11:52:26.921	0.221000
11:52:27.922	0.221000
11:52:28.922	0.221000
11:52:29.922	0.221000
11:52:30.922	0.221000
11:52:31.922	0.221000
11:52:32.922	0.221000
11:52:33.921	0.221000
11:52:34.922	0.222000
11:52:35.922	0.221000
11:52:36.922	0.222000
11:52:37.922	0.222000
11:52:38.922	0.222000
11:52:39.922	0.222000
11:52:40.921	0.222000
11:52:41.922	0.222000
11:52:42.922	0.222000
11:52:43.922	0.222000
11:52:44.922	0.222000
11:52:45.921	0.222000
11:52:46.922	0.222000
11:52:47.922	0.222000
11:52:48.922	0.222000
11:52:49.922	0.222000
11:52:50.922	0.222000
11:52:51.922	0.222000
11:52:52.921	0.222000
11:52:53.922	0.222000
11:52:54.922	0.222000
11:52:55.922	0.222000
11:52:56.922	0.222000
11:52:57.922	0.222000
11:52:58.922	0.222000
11:52:59.921	0.222000
11:53:00.922	0.222000
11:53:01.922	0.222000
11:53:02.922	0.222000
11:53:03.922	0.222000
11:53:04.922	0.222000
11:53:05.922	0.222000
11:53:06.922	0.223000
11:53:07.922	0.222000
11:53:08.922	0.223000
11:53:09.922	0.222000
11:53:10.922	0.222000
11:53:11.922	0.222000
11:53:12.922	0.222000
11:53:13.922	0.222000
11:53:14.922	0.222000
11:53:15.922	0.222000
11:53:16.922	0.222000
11:53:17.922	0.222000
11:53:18.921	0.222000
11:53:19.922	0.222000
11:53:20.922	0.222000
11:53:21.922	0.222000
11:53:22.922	0.222000
11:53:23.922	0.222000
11:53:24.922	0.222000
11:53:25.921	0.222000
11:53:26.922	0.222000
11:53:27.922	0.222000
11:53:28.922	0.222000
11:53:29.922	0.222000
11:53:30.922	0.222000
11:53:31.922	0.222000
11:53:32.921	0.222000
11:53:33.922	0.222000
11:53:34.922	0.221000
11:53:35.922	0.222000
11:53:36.922	0.222000
11:53:37.922	0.221000
11:53:38.922	0.221000
11:53:39.922	0.222000
11:53:40.922	0.221000
11:53:41.922	0.221000
11:53:42.922	0.221000
11:53:43.922	0.221000
11:53:44.922	0.221000
11:53:45.922	0.221000
11:53:46.922	0.221000
11:53:47.922	0.220000
11:53:48.922	0.220000
11:53:49.922	0.220000
11:53:50.922	0.220000
11:53:51.921	0.220000
11:53:52.922	0.220000
11:53:53.922	0.220000
11:53:54.922	0.220000
11:53:55.922	0.220000
11:53:56.922	0.220000
11:53:57.922	0.220000
11:53:58.921	0.220000
11:53:59.922	0.219000
11:54:00.922	0.219000
11:54:01.922	0.219000
11:54:02.922	0.219000
11:54:03.922	0.219000
11:54:04.922	0.219000
11:54:05.922	0.219000
11:54:06.922	0.219000
11:54:07.922	0.219000
11:54:08.922	0.218000
11:54:09.922	0.218000
11:54:10.922	0.218000
11:54:11.922	0.218000
11:54:12.922	0.218000
11:54:13.922	0.218000
11:54:14.922	0.218000
11:54:15.922	0.217000
11:54:16.922	0.218000
11:54:17.921	0.218000
11:54:18.922	0.217000
11:54:19.922	0.218000
11:54:20.922	0.217000
11:54:21.922	0.217000
11:54:22.922	0.217000
11:54:23.922	0.217000
11:54:24.921	0.217000
11:54:25.922	0.217000
11:54:26.922	0.216000
11:54:27.922	0.216000
11:54:28.922	0.216000
11:54:29.922	0.216000
11:54:30.922	0.216000
11:54:31.921	0.216000
11:54:32.922	0.216000
11:54:33.922	0.216000
11:54:34.922	0.216000
11:54:35.922	0.216000
11:54:36.922	0.215000
11:54:37.922	0.215000
11:54:38.922	0.215000
11:54:39.922	0.215000
11:54:40.922	0.215000
11:54:41.922	0.215000
11:54:42.922	0.215000
11:54:43.921	0.215000
11:54:44.922	0.215000
11:54:45.922	0.215000
11:54:46.922	0.214000
11:54:47.922	0.214000
11:54:48.922	0.214000
11:54:49.922	0.214000
11:54:50.921	0.214000
11:54:51.922	0.214000
11:54:52.922	0.214000
11:54:53.922	0.214000
11:54:54.922	0.214000
11:54:55.922	0.214000
11:54:56.922	0.214000
11:54:57.921	0.213000
11:54:58.922	0.214000
11:54:59.922	0.213000
11:55:00.922	0.213000
11:55:01.922	0.213000
11:55:02.922	0.213000
11:55:03.922	0.213000
11:55:04.922	0.213000
11:55:05.922	0.213000
11:55:06.922	0.213000
11:55:07.922	0.213000
11:55:08.922	0.213000
11:55:09.923	0.213000
11:55:10.922	0.213000
11:55:11.922	0.213000
11:55:12.922	0.212000
11:55:13.922	0.213000
11:55:14.922	0.212000
11:55:15.922	0.212000
11:55:16.921	0.213000
11:55:17.922	0.213000
11:55:18.922	0.212000
11:55:19.922	0.213000
11:55:20.922	0.212000
11:55:21.922	0.212000
11:55:22.922	0.212000
11:55:23.921	0.212000
11:55:24.922	0.212000
11:55:25.922	0.213000
11:55:26.922	0.212000
11:55:27.922	0.212000
11:55:28.922	0.212000
11:55:29.922	0.212000
11:55:30.921	0.212000
11:55:31.922	0.212000
11:55:32.922	0.212000
11:55:33.922	0.212000
11:55:34.922	0.212000
11:55:35.922	0.213000
11:55:36.922	0.213000
11:55:37.922	0.212000
11:55:38.922	0.212000
11:55:39.922	0.212000
11:55:40.922	0.213000
11:55:41.922	0.212000
11:55:42.922	0.213000
11:55:43.922	0.213000
11:55:44.922	0.212000
11:55:45.922	0.212000
11:55:46.922	0.212000
11:55:47.922	0.212000
11:55:48.922	0.212000
11:55:49.921	0.212000
11:55:50.922	0.213000
11:55:51.922	0.212000
11:55:52.922	0.212000
11:55:53.922	0.212000
11:55:54.922	0.213000
11:55:55.922	0.212000
11:55:56.921	0.212000
11:55:57.922	0.213000
11:55:58.922	0.212000
11:55:59.922	0.213000
11:56:00.922	0.213000
11:56:01.922	0.213000
11:56:02.923	0.213000
11:56:03.921	0.213000
11:56:04.922	0.213000
11:56:05.922	0.213000
11:56:06.922	0.213000
11:56:07.922	0.213000
11:56:08.922	0.213000
11:56:09.922	0.213000
11:56:10.921	0.213000
11:56:11.922	0.213000
11:56:12.922	0.213000
11:56:13.922	0.213000
11:56:14.922	0.214000
11:56:15.921	0.214000
11:56:16.922	0.214000
11:56:17.922	0.213000
11:56:18.922	0.214000
11:56:19.922	0.214000
11:56:20.922	0.214000
11:56:21.922	0.214000
